dataset,model,budget,main_method,strongest_nonquantum_baseline,main_unsafe_and_functional_at_q,baseline_unsafe_and_functional_at_q,absolute_gain_pp,relative_gain_percent,paired_delta_ci95_pp,paired_delta_ci_low_pp,paired_delta_ci_high_pp,paired_delta_ci_excludes_zero,main_q_at_success,baseline_q_at_success,q_at_success_reduction_percent
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qscout_qbw_comment,classical_boundary_witness_comment,0.9,0.7133333333333333,18.666666666666675,26.168224299065436,1.0932357680045244,17.573430898662146,19.759902434671194,1,1.4814814814814814,2.0019279221924258,25.997261686673202
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qscout_qbw_comment,classical_boundary_witness_comment,0.9493333333333334,0.8320000000000001,11.733333333333329,14.102564102564097,1.7334892237590895,9.999844109574244,13.466822557092422,1,1.7218556091795527,2.634547706498796,34.643217697969604
llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qscout_qbw_comment,classical_boundary_witness_comment,0.9800000000000001,0.9706666666666667,0.9333333333333416,0.9615384615384701,0.32006665972367065,0.6132666736096576,1.2533999930569988,1,2.017687074829932,3.349995276334435,39.77045015306155
llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,qscout_qbw_comment,classical_boundary_witness_comment,0.8266666666666665,0.792,3.4666666666666512,4.377104377104358,0.9601999791710062,2.5064666874956605,4.426866645837673,1,1.4193548387096775,1.717082110664545,17.33914005077143
llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,qscout_qbw_comment,classical_boundary_witness_comment,0.9146666666666666,0.8906666666666666,2.400000000000002,2.694610778443116,0.6662718831094568,1.7337281168905407,3.0662718831094544,1,1.804612292393949,2.178054256703118,17.145668578267713
llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,qscout_qbw_comment,classical_boundary_witness_comment,0.9333333333333333,0.9279999999999999,0.5333333333333412,0.5747126436781694,0.7619110475931162,-0.22857771425978174,1.2952443809264507,0,1.9942857142857142,2.67933033089849,25.56775507344972
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qscout_qbw_comment,classical_boundary_witness_comment,0.912396694214876,0.7239669421487603,18.842975206611566,26.027397260273972,0.6060866510807397,18.23688855553083,19.449061857692307,1,2.0054545454545454,1.543312434691745,-29.94481871424218
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qscout_qbw_comment,classical_boundary_witness_comment,0.9801652892561984,0.8330578512396695,14.710743801652892,17.658730158730158,0.9445178275947742,13.766225974058125,15.655261629247672,1,2.332217632815838,2.2727740601190973,-2.6154633555447067
securityeval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qscout_qbw_comment,classical_boundary_witness_comment,1.0,0.971900826446281,2.809917355371905,2.8911564625850383,1.2121733021614751,1.5977440532104232,4.022090657533373,1,2.6280991735537187,3.334954985338617,21.19536290272078
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,qscout_qbw_comment,classical_boundary_witness_comment,0.9008264462809917,0.7322314049586777,16.859504132231407,23.024830699774267,0.825956879887754,16.03354725234365,17.68546101211916,1,2.0236184474716583,1.6364804965579858,-23.65674089779505
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,qscout_qbw_comment,classical_boundary_witness_comment,0.9917355371900827,0.8644628099173554,12.727272727272732,14.722753346080312,1.212173302161475,11.515099425111258,13.939446029434208,1,2.3983333333333334,2.393056534660308,-0.22050455543351236
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,qscout_qbw_comment,classical_boundary_witness_comment,1.0,0.9801652892561984,1.983471074380161,2.023608768971328,0.39677685089711384,1.586694223483049,2.380247925277277,1,2.512396694214876,3.0356217063096427,17.236173104416324
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,4,qscout_qbw_comment,classical_active_comment,0.15499999999999997,0.11499999999999999,3.9999999999999982,34.782608695652165,1.4050464602836286,2.5949535397163705,5.405046460283628,1,2.0807980736154112,2.0470329670329668,-1.649465696265003
cyberseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,8,qscout_qbw_comment,classical_active_comment,0.17666666666666667,0.15499999999999997,2.1666666666666696,13.978494623655935,1.4239069882232864,0.7427596784433798,3.5905736548899525,1,2.5272727272727273,3.2324554032139177,21.815696985024193
