dataset,model,strategy,display_strategy,budget,seeds,seed_count,ASR_at_budget,UnsafeFunctional_at_budget,RawVulnerable_at_budget,FunctionalRate_at_budget,Q_at_success,AvgQueries,AvgQueriesPerTask,AULC,metric_note
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,fair_random_comment,Random Search,4,"7,19,31,43,59",5,0.6809917355371901,0.6809917355371901,0.684297520661157,1.0,1.5109532743679084,279.0,2.3057851239669422,0.8250688705234159,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,fair_random_comment,Random Search,8,"7,19,31,43,59",5,0.7950413223140496,0.7950413223140496,0.7950413223140496,1.0,2.1598601914229176,406.2,3.3570247933884296,0.8250688705234159,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,fair_random_comment,Random Search,16,"7,19,31,43,59",5,0.9421487603305785,0.9421487603305785,0.9421487603305785,1.0,3.3165225760325576,490.2,4.051239669421487,0.8250688705234159,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,fair_risk_prior_comment,Risk Prior,4,"7,19,31,43,59",5,0.6975206611570248,0.6975206611570248,0.6975206611570248,1.0,1.4737815126050422,270.8,2.2380165289256198,0.7895316804407714,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,fair_risk_prior_comment,Risk Prior,8,"7,19,31,43,59",5,0.7933884297520661,0.7933884297520661,0.7933884297520661,1.0,2.0666666666666664,398.4,3.2925619834710744,0.7895316804407714,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,fair_risk_prior_comment,Risk Prior,16,"7,19,31,43,59",5,0.8297520661157025,0.8297520661157025,0.8297520661157025,1.0,2.5191427142714273,582.6,4.8148760330578515,0.7895316804407714,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,4,"7,19,31,43,59",5,0.6380165289256198,0.6380165289256198,0.6380165289256198,1.0,1.4118215118215118,284.2,2.3487603305785125,0.784297520661157,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,8,"7,19,31,43,59",5,0.7884297520661157,0.7884297520661157,0.7884297520661157,1.0,2.3814254385964913,432.0,3.5702479338842976,0.784297520661157,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,insec_fixed_pool_comment,INSEC-style Fixed-Pool Search,16,"7,19,31,43,59",5,0.8512396694214877,0.8512396694214877,0.8512396694214877,1.0,3.0233009708737866,599.4,4.953719008264463,0.784297520661157,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,qscout_qbw_comment,QScout-QBW,4,"7,19,31,43,59",5,0.9008264462809917,0.9008264462809917,0.9008264462809917,1.0,2.0236184474716583,268.6,2.2198347107438012,0.9793388429752067,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,qscout_qbw_comment,QScout-QBW,8,"7,19,31,43,59",5,0.9917355371900827,0.9917355371900827,0.9917355371900827,1.0,2.3983333333333334,295.8,2.4446280991735536,0.9793388429752067,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
securityeval,Qwen/Qwen2.5-Coder-1.5B-Instruct,qscout_qbw_comment,QScout-QBW,16,"7,19,31,43,59",5,1.0,1.0,1.0,1.0,2.512396694214876,304.0,2.512396694214876,0.9793388429752067,"Budgets are the committed protocol budgets B=4/8/16 or B=4/8 for CyberSecEval, not B=10/20/40."
