signal,n,pearson,spearman,auc,precision_at_10,precision_at_50,precision_at_10pct,base_success_rate,lift_at_10,lift_at_50,lift_at_10pct,hit_at_10,hit_at_10pct,success_mean,failure_mean,success_failure_delta
guarded_qbw,4388,0.23704942683771482,0.3887634713687568,0.6075903823242716,0.9,0.74,0.6560364464692483,0.39881494986326343,2.256685714285714,1.855497142857143,1.6449645297754638,1.0,1.0,0.2804763738312709,0.1160839238641263,0.16439244996714458
detector_alignment,4388,0.1425350799328043,0.38099375205041963,0.5345242066500596,1.0,0.78,0.5876993166287016,0.39881494986326343,2.5074285714285716,1.9557942857142858,1.4736140579238528,1.0,1.0,1.7477142857142858,0.7255496588324488,1.022164626881837
qbw_detector_guard,4388,0.12836273550251204,0.3784989806725067,0.5338128452290697,0.7,0.68,0.6013667425968109,0.39881494986326343,1.7551999999999999,1.7050514285714287,1.507884152294175,1.0,1.0,0.1110894205606235,0.05444868653100963,0.05664073402961387
actual_qbw_acquisition,4388,0.24027221584751143,0.17955508707429446,0.6173544893317449,1.0,1.0,0.6674259681093394,0.39881494986326343,2.5074285714285716,2.5074285714285716,1.6735229417507322,1.0,1.0,0.40082835428826336,0.29626178750736937,0.10456656678089399
measurement_probability,4388,0.20592709136145165,0.15334744475661566,0.5983188562763999,0.5,0.84,0.7220956719817767,0.39881494986326343,1.2537142857142858,2.10624,1.8106033192320208,1.0,1.0,0.04667529400593293,0.04302166746720618,0.003653626538726744
measurement_variance,4388,0.20464787068627585,0.15334744475661566,0.5983188562763999,0.5,0.84,0.7220956719817767,0.39881494986326343,1.2537142857142858,2.10624,1.8106033192320208,1.0,1.0,0.04440442180818775,0.04111013669035375,0.0032942851178340005
qql_prior,4388,0.09255892910710757,0.05507856177148907,0.5321037582584209,1.0,0.76,0.724373576309795,0.39881494986326343,2.5074285714285716,1.9056457142857144,1.8163150016270746,1.0,1.0,0.4521887599753305,0.4253270758514251,0.026861684123905383
qbw_score,4388,-0.033095219675687584,-0.04153976481212084,0.4696696631647352,0.4,0.34,0.35079726651480636,0.39881494986326343,1.0029714285714286,0.8525257142857143,0.8795990888382688,1.0,1.0,0.2311271158354019,0.2501136281245065,-0.018986512289104585
classical_witness,4388,0.03979997195792093,0.005457278372895811,0.5004739521282356,0.2,0.5,0.5580865603644647,0.39881494986326343,0.5014857142857143,1.2537142857142858,1.399362186788155,1.0,1.0,0.3210629424448512,0.3013794526576341,0.019683489787217068
qbw_plus_prior_detector,4388,0.008186609123650884,0.0019362832850463258,0.4959168201018087,1.0,0.56,0.39863325740318906,0.39881494986326343,2.5074285714285716,1.40416,0.9995444191343964,1.0,1.0,0.42354249381769954,0.41951571987904474,0.004026773938654804
