source_root,dataset,model,seed,budget,strategy,completed_tasks,total_tasks,is_complete,queries,queries_per_task,unsafe_and_functional_at_q,q_at_success,raw_asr,functional_rate
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,7,4,insec_fixed_pool_comment,150,150,1,471.0,3.14,0.4666666666666667,2.157142857142857,0.4666666666666667,0.9733333333333334
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,19,4,insec_fixed_pool_comment,150,150,1,467.0,3.1133333333333333,0.46,2.072463768115942,0.46,0.9666666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,31,4,insec_fixed_pool_comment,150,150,1,470.0,3.1333333333333333,0.46,2.1159420289855073,0.46,0.9666666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,43,4,insec_fixed_pool_comment,150,150,1,462.0,3.08,0.47333333333333333,2.056338028169014,0.47333333333333333,0.9733333333333334
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,59,4,insec_fixed_pool_comment,150,150,1,470.0,3.1333333333333333,0.4533333333333333,2.088235294117647,0.4533333333333333,0.9666666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,7,4,qscout_qbw_comment,150,150,1,260.0,1.7333333333333334,0.9,1.4814814814814814,0.9,0.9866666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,19,4,qscout_qbw_comment,150,150,1,260.0,1.7333333333333334,0.9,1.4814814814814814,0.9,0.9866666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,31,4,qscout_qbw_comment,150,150,1,260.0,1.7333333333333334,0.9,1.4814814814814814,0.9,0.9866666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,43,4,qscout_qbw_comment,150,150,1,260.0,1.7333333333333334,0.9,1.4814814814814814,0.9,0.9866666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,59,4,qscout_qbw_comment,150,150,1,260.0,1.7333333333333334,0.9,1.4814814814814814,0.9,0.9866666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,7,8,aot_ensemble_fixed_pool_comment,150,150,1,720.0,4.8,0.6,2.6666666666666665,0.6,0.9666666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,19,8,aot_ensemble_fixed_pool_comment,150,150,1,720.0,4.8,0.6066666666666667,2.7252747252747254,0.6066666666666667,0.9733333333333334
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,31,8,aot_ensemble_fixed_pool_comment,150,150,1,724.0,4.826666666666667,0.6,2.7111111111111112,0.6,0.9666666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,43,8,aot_ensemble_fixed_pool_comment,150,150,1,725.0,4.833333333333333,0.6066666666666667,2.78021978021978,0.6066666666666667,0.9666666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,59,8,aot_ensemble_fixed_pool_comment,150,150,1,725.0,4.833333333333333,0.6066666666666667,2.78021978021978,0.6066666666666667,0.9666666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,7,8,classical_boundary_witness_comment,150,150,1,511.0,3.4066666666666667,0.86,2.6589147286821704,0.86,0.9866666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,19,8,classical_boundary_witness_comment,150,150,1,551.0,3.6733333333333333,0.8133333333333334,2.680327868852459,0.8133333333333334,0.98
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,31,8,classical_boundary_witness_comment,150,150,1,531.0,3.54,0.8333333333333334,2.648,0.8333333333333334,0.98
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,43,8,classical_boundary_witness_comment,150,150,1,524.0,3.493333333333333,0.8333333333333334,2.592,0.8333333333333334,0.98
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,59,8,classical_boundary_witness_comment,150,150,1,535.0,3.566666666666667,0.82,2.5934959349593494,0.82,0.98
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,7,8,fair_random_comment,150,150,1,713.0,4.753333333333333,0.6866666666666666,3.2718446601941746,0.6866666666666666,0.98
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,19,8,fair_random_comment,150,150,1,756.0,5.04,0.66,3.515151515151515,0.66,0.9866666666666667
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,31,8,fair_random_comment,150,150,1,651.0,4.34,0.7,2.7714285714285714,0.7,0.9933333333333333
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,43,8,fair_random_comment,150,150,1,706.0,4.706666666666667,0.6666666666666666,3.06,0.6666666666666666,0.9933333333333333
outputs\ccfa_protocol_llmseceval_qwen05_seed7_full_gatefix_20260706,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,59,8,fair_random_comment,150,150,1,636.0,4.24,0.68,2.4705882352941178,0.68,0.9933333333333333
