signal,n,pearson,spearman,auc,precision_at_10,precision_at_50,precision_at_10pct,base_success_rate,lift_at_10,lift_at_50,lift_at_10pct,hit_at_10,hit_at_10pct,success_mean,failure_mean,success_failure_delta
guarded_qbw,4342,0.25757226391476146,0.4294305820146616,0.6099995590828924,0.1,0.26,0.6566820276497696,0.40304007369875633,0.24811428571428573,0.6450971428571429,1.629321922317314,1.0,1.0,0.2890148356704221,0.10760176666701982,0.18141306900340226
detector_alignment,4342,0.06353881747598451,0.37773903864871866,0.5116053791887125,1.0,0.7,0.5046082949308756,0.40304007369875633,2.4811428571428573,1.7368,1.2520052666227781,1.0,1.0,1.4697142857142858,1.0179398148148149,0.45177447089947087
qbw_detector_guard,4342,0.07221417621786937,0.3759277644821225,0.5121690917107584,0.1,0.26,0.5207373271889401,0.40304007369875633,0.24811428571428573,0.6450971428571429,1.2920236998025016,1.0,1.0,0.10111323579963616,0.06813552151831793,0.032977714281318224
actual_qbw_acquisition,4342,0.22320841383182569,0.1797938855378882,0.6123692680776014,0.0,0.58,0.6082949308755761,0.40304007369875633,0.0,1.439062857142857,1.5092666227781437,0.0,1.0,0.4015195403224732,0.3009293448868054,0.10059019543566783
measurement_probability,4342,0.12148696593192064,0.09307948613939616,0.5580758377425044,0.9,0.66,0.6013824884792627,0.40304007369875633,2.2330285714285716,1.6375542857142857,1.492115865701119,1.0,1.0,0.04628226808356286,0.04402963928053567,0.002252628803027186
measurement_variance,4342,0.12049903780680446,0.09307948613939616,0.5580758377425044,0.9,0.66,0.6013824884792627,0.40304007369875633,2.2330285714285716,1.6375542857142857,1.492115865701119,1.0,1.0,0.04404499152268078,0.04201977044258641,0.0020252210800943693
qbw_score,4342,-0.04233123396959216,-0.02841010489330238,0.4772200176366843,0.4,0.42,0.347926267281106,0.40304007369875633,0.9924571428571429,1.04208,0.8632547728768927,1.0,1.0,0.2283692861887461,0.2513973785134521,-0.023028092324706012
qql_prior,4342,0.027200836728908325,0.014710770291902646,0.5026655643738978,0.0,0.38,0.6244239631336406,0.40304007369875633,0.0,0.9428342857142857,1.549285055957867,0.0,1.0,0.4451979225975484,0.4376107230170532,0.007587199580495196
classical_witness,4342,0.025527343839118484,-0.006887533834523961,0.48891181657848326,0.7,0.64,0.5645161290322581,0.40304007369875633,1.7368,1.5879314285714285,1.4006451612903228,1.0,1.0,0.31387325144281375,0.30144933788090333,0.012423913561910416
qbw_plus_prior_detector,4342,-0.02691437892095435,-0.006797190916518699,0.4880233686067019,0.6,0.32,0.3617511520737327,0.40304007369875633,1.4886857142857142,0.7939657142857143,0.8975562870309414,1.0,1.0,0.4183622520260189,0.43319688050003785,-0.014834628474018952
