artifact_group,dataset,model,budget,strategy,task_rows,effective_rows,vulnerable_rows,functional_rows,effective_rate,vulnerable_nonfunctional_rate,functional_not_vulnerable_rate,neither_rate,mean_attempts,mean_attempt_to_success,first_attempt_success_rate
main,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,fair_risk_prior_comment,750,488,488,740,0.6506666666666666,0.0,0.336,0.013333333333333334,7.976,3.668032786885246,0.20666666666666667
main,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,insec_fixed_pool_comment,750,515,515,750,0.6866666666666666,0.0,0.31333333333333335,0.0,7.846666666666667,4.12621359223301,0.15333333333333332
main,llmseceval,Qwen/Qwen2.5-Coder-0.5B-Instruct,16,qscout_qbw_comment,750,735,735,750,0.98,0.0,0.02,0.0,2.2973333333333334,2.017687074829932,0.6133333333333333
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,aot_ensemble_fixed_pool_comment,750,415,415,750,0.5533333333333333,0.0,0.44666666666666666,0.0,2.7946666666666666,1.8216867469879519,0.29333333333333333
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,classical_active_comment,750,453,453,750,0.604,0.0,0.396,0.0,2.6146666666666665,1.706401766004415,0.352
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,classical_boundary_witness_comment,750,594,594,750,0.792,0.0,0.208,0.0,2.192,1.7171717171717171,0.408
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,fair_random_comment,750,442,442,750,0.5893333333333334,0.0,0.4106666666666667,0.0,2.696,1.7873303167420815,0.3413333333333333
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,fair_risk_prior_comment,750,415,415,750,0.5533333333333333,0.0,0.44666666666666666,0.0,2.7173333333333334,1.6819277108433734,0.32666666666666666
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,insec_fixed_pool_comment,750,378,378,750,0.504,0.0,0.496,0.0,2.8373333333333335,1.693121693121693,0.2866666666666667
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,4,qscout_qbw_comment,750,620,620,750,0.8266666666666667,0.0,0.17333333333333334,0.0,1.8666666666666667,1.4193548387096775,0.5733333333333334
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,aot_ensemble_fixed_pool_comment,750,482,482,750,0.6426666666666667,0.0,0.35733333333333334,0.0,4.46,2.491701244813278,0.29333333333333333
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,classical_active_comment,750,603,603,750,0.804,0.0,0.196,0.0,3.852,2.8407960199004973,0.352
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,classical_boundary_witness_comment,750,668,668,750,0.8906666666666667,0.0,0.10933333333333334,0.0,2.8146666666666667,2.17814371257485,0.408
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,fair_random_comment,750,534,534,750,0.712,0.0,0.288,0.0,4.058666666666666,2.4644194756554305,0.36
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,fair_risk_prior_comment,750,483,483,750,0.644,0.0,0.356,0.0,4.3613333333333335,2.349896480331263,0.32666666666666666
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,insec_fixed_pool_comment,750,491,491,750,0.6546666666666666,0.0,0.3453333333333333,0.0,4.549333333333333,2.7291242362525456,0.2866666666666667
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,8,qscout_qbw_comment,750,686,686,750,0.9146666666666666,0.0,0.08533333333333333,0.0,2.3333333333333335,1.80466472303207,0.5733333333333334
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,aot_ensemble_fixed_pool_comment,750,556,556,750,0.7413333333333333,0.0,0.25866666666666666,0.0,6.848,3.6546762589928057,0.292
main,llmseceval,Qwen/Qwen2.5-Coder-1.5B-Instruct,16,classical_active_comment,750,686,686,750,0.9146666666666666,0.0,0.08533333333333333,0.0,4.816,3.772594752186589,0.3586666666666667
