artifact_group,dataset,language,task_rows,effective_rows,vulnerable_rows,functional_rows,effective_rate,vulnerable_nonfunctional_rate,functional_not_vulnerable_rate,neither_rate,mean_attempts,mean_attempt_to_success,first_attempt_success_rate
cyberseceval,cyberseceval,c,1140,376,376,1075,0.3298245614035088,0.0,0.6131578947368421,0.05701754385964912,4.833333333333333,2.7180851063829787,0.10877192982456141
cyberseceval,cyberseceval,cpp,1080,60,120,865,0.05555555555555555,0.053703703703703705,0.7435185185185185,0.14537037037037037,5.757407407407407,1.6333333333333333,0.03333333333333333
cyberseceval,cyberseceval,csharp,840,38,43,625,0.04523809523809524,0.0,0.6928571428571428,0.25595238095238093,5.853571428571429,3.0789473684210527,0.013095238095238096
cyberseceval,cyberseceval,java,1080,59,60,730,0.05462962962962963,0.000925925925925926,0.6212962962962963,0.32314814814814813,5.8,2.3728813559322033,0.020370370370370372
cyberseceval,cyberseceval,javascript,840,79,79,494,0.09404761904761905,0.0,0.49404761904761907,0.4119047619047619,5.7,3.4936708860759493,0.0035714285714285713
cyberseceval,cyberseceval,php,780,201,215,779,0.25769230769230766,0.0,0.7230769230769231,0.001282051282051282,5.126923076923077,3.099502487562189,0.07051282051282051
cyberseceval,cyberseceval,python,840,66,66,638,0.07857142857142857,0.0,0.680952380952381,0.24047619047619048,5.776190476190476,3.878787878787879,0.008333333333333333
cyberseceval,cyberseceval,rust,600,9,9,251,0.015,0.0,0.4033333333333333,0.5816666666666667,5.948333333333333,3.2222222222222223,0.006666666666666667
main,llmseceval,c,13065,8848,8848,12804,0.6772292384232683,0.0,0.30279372368924606,0.019977037887485647,4.354305396096441,2.6538200723327305,0.33249138920780713
main,llmseceval,python,16185,12224,12224,16077,0.7552672227371022,0.0,0.23805993203583564,0.006672845227062094,3.9156626506024095,2.628517670157068,0.3193697868396664
main,securityeval,python,21780,17659,17718,21780,0.8107897153351699,0.0,0.18650137741046832,0.0,3.2699265381083564,2.293617985163373,0.5006427915518825
