artifact_group,dataset,task_rows,effective_rows,vulnerable_rows,functional_rows,effective_rate,vulnerable_nonfunctional_rate,functional_not_vulnerable_rate,neither_rate,mean_attempts,mean_attempt_to_success,first_attempt_success_rate
cyberseceval,cyberseceval,7200,888,968,5457,0.12333333333333334,0.008194444444444445,0.6316666666666667,0.2338888888888889,5.571805555555556,2.884009009009009,0.03638888888888889
main,llmseceval,29250,21072,21072,28881,0.7204102564102564,0.0,0.26697435897435895,0.012615384615384615,4.111589743589744,2.63914198936978,0.3252307692307692
main,securityeval,21780,17659,17718,21780,0.8107897153351699,0.0,0.18650137741046832,0.0,3.2699265381083564,2.293617985163373,0.5006427915518825
